Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.0028217772594019692,0.002282382922187771,0.0022439384033355867
2,0.0021056614589789386,0.002050391269260357,0.001993017084726065
3,0.0020546628160452093,0.002065939964530361,0.0020244483617099635
4,0.002006761427698339,0.0018992187030008715,0.0018593965425206201
5,0.0019481752434023,0.0018025199207441205,0.001770858237219868
6,0.00182687250139988,0.0016334551219292315,0.0015981821702336038
7,0.0017761973294559304,0.0016958253599001377,0.0016606545566463982
8,0.0016897321774964895,0.0015912889535840287,0.0015619476563307486
9,0.0016712902157223557,0.0015039766792151823,0.001481913471408783
10,0.0015983409059852653,0.0017010589207909518,0.0016748826201332418
11,0.0015977056006664645,0.0015646003337791816,0.0015536820919145866
12,0.001503019873074382,0.0014084362273176143,0.0014113391775430904
13,0.001438311700548913,0.0012896641808352266,0.0013055481988954937
14,0.0014160307601951728,0.0012363916402903438,0.001242819945912009
15,0.0013546698882243235,0.001383594637450763,0.0013976925980035743
16,0.001323760305944504,0.0013614205648409207,0.0013513679781505293
17,0.0012669772728771077,0.0011387452129357233,0.0011289263888973851
18,0.0011237858863066053,0.0011772694859996634,0.0012166537146632188
19,0.0010660473964605888,0.0011407334018096104,0.0011772659334852661
20,0.001013935929109056,0.0008230987173277008,0.0008535709338124222
