Epoch,Train Loss,Val Loss,Test Loss,LR
1,0.5941116464635863,0.8966440076755424,0.8436368491428807,0.0009990143508499217
2,0.4566367133084932,1.0595286233566499,0.6637287750791147,0.0009960612933065818
3,0.4251394880785701,0.8417600497067479,0.6084196751645657,0.00099115248173898
4,0.3894369838147804,0.7002703286195108,0.5776939981410802,0.0009843072889837512
5,0.3671208366141392,0.6558213612486375,0.555585913132433,0.0009755527298894294
6,0.3584016573740027,0.6253381409550101,0.5940126171401257,0.0009649233547011816
7,0.352062135227717,0.6236508602366643,0.6315410866331594,0.0009524611127067769
8,0.3427943958777528,0.5854905819584719,0.6359661948417463,0.0009382151866819099
9,0.3338003438667028,0.6110167987480476,0.6025716516687997,0.0009222417987882566
10,0.33323155955237577,0.535499233161929,0.6472028575708006,0.0009046039886902864
11,0.3286953375023454,0.5775900599945181,0.5347298195399082,0.0008853713647665069
12,0.32757008524753184,0.6210942725632029,0.5829959983942259,0.0008646198293969952
13,0.32577852527632306,0.5754364682989809,0.5857743766030965,0.0008424312794113801
14,0.3157313811956776,0.5198387404248954,0.6177264689334301,0.0008188932828794706
15,0.31958785592011374,0.5297911209950804,0.5926846367796094,0.0007940987335200906
16,0.3138344055075919,0.5209233185155869,0.5893740044494273,0.0007681454840920089
17,0.31190799371186484,0.5155957216628116,0.6434075006532961,0.0007411359602138069
18,0.3092019121044319,0.5606976402849029,0.686293539863043,0.0007131767561367538
19,0.31241123104364493,0.5507653336821485,0.704990592959009,0.0006843782140659967
20,0.30583828198393914,0.5766589652009564,0.6214010506994465,0.0006548539886902863
21,0.30483983678155013,0.5234735042799692,0.6018149504148181,0.0006247205986388449
22,0.303412694842994,0.5172107681650869,0.6449638884505813,0.0005940969666355696
23,0.30441158020576237,0.5525619388158097,0.57718242960577,0.0005631039501653701
24,0.298561910088612,0.5121524994148322,0.5756140082556147,0.0005318638645048921
25,0.2970026924603412,0.5153516410826126,0.5314788236044133,0.0005005
26,0.29569400001575674,0.5071757074375867,0.5857340135538471,0.00046913613549510796
27,0.29397229414239384,0.509641423588947,0.6189630971752986,0.00043789604983463003
28,0.2902331145609856,0.5028324997873314,0.6096865933267623,0.00040690303336443054
29,0.29171976011052586,0.4910764330729602,0.597109115594533,0.000376279401361155
30,0.2875871535678302,0.5076569973461139,0.5583142103810348,0.00034614601130971394
31,0.28535380440811375,0.5261462306837413,0.5701225805742168,0.00031662178593400354
32,0.285506631234516,0.5163439293694535,0.5979837350964153,0.00028782324386324626
33,0.28790607126940587,0.5213558618941754,0.5725092563373582,0.00025986403978619317
34,0.281325778115619,0.4795710774865741,0.5626566848902843,0.00023285451590799105
35,0.2806494970053463,0.5107681725982474,0.5564774795210748,0.0002069012664799097
36,0.2803746275797064,0.4840171573267436,0.5736808811884057,0.00018210671712052946
37,0.280781898483342,0.49195164809750347,0.6053108789856915,0.00015856872058861996
38,0.2800883182261274,0.4933612538551919,0.5652272603183383,0.00013638017060300502
39,0.278243181648827,0.5064495437440479,0.5478015106274704,0.0001156286352334933
40,0.2745040090767108,0.48645014082780325,0.59455810029797,9.639601130971378e-05
41,0.27628737914122947,0.49108218899276174,0.5469094443668712,7.875820121174356e-05
42,0.27578813238297895,0.4878086240576806,0.5695946553137923,6.278481331809012e-05
43,0.27220564390794977,0.483011104712078,0.5622977501750833,4.853888729322332e-05
44,0.27254667725468645,0.48768956775596534,0.5579807154718676,3.607664529881844e-05
45,0.27268054099216504,0.4837846877330598,0.5747177529682506,2.5447270110570804e-05
46,0.2742308123167363,0.4866651812551121,0.576520991790558,1.6692711016248827e-05
47,0.2724832203043095,0.48519551250003473,0.5746895424289551,9.84751826101998e-06
48,0.27123599336976373,0.48233595021253167,0.5714261440195049,4.938706693418354e-06
49,0.27053315982107706,0.48731865786085987,0.5693418258896555,1.9856491500783555e-06
50,0.27172911708513847,0.4848946133908388,0.5696229662590314,1e-06
