Epoch,Accuracy,Precision,Recall,F1
1,0.9149880264826031,0.5584716181568852,0.5484078538576852,0.5517717811642243
2,0.9094238625158473,0.6453399987895175,0.7269898000216917,0.6773145066179621
3,0.9244964079447809,0.8427111795386498,0.6123689710520933,0.6516898961432562
4,0.9235103535709255,0.8492141952165514,0.6201459498277105,0.6680383348551988
5,0.9252007324975349,0.8475287431211947,0.7886410259807762,0.8133072818953963
6,0.9104099168897027,0.8769615793138915,0.6661892793794673,0.7187408136495058
7,0.9352725736019157,0.8437615682266119,0.819726724970076,0.8271702797362277
8,0.9317509508381462,0.8856907040131623,0.7411873349670647,0.7910416972608365
9,0.9349204113255388,0.8606828996141197,0.8117479830039196,0.8307948473295931
10,0.9323848429356247,0.8450275383333462,0.819400957550673,0.828125927469329
11,0.9304127341879138,0.8137107303535022,0.8460345710804287,0.8216029819176635
12,0.9335821946753063,0.8725482346912181,0.7361348734771234,0.7854259424294819
13,0.9406958726581208,0.8635047166556075,0.8291383393285537,0.8430829667237615
14,0.936751655162699,0.857588818200481,0.7998059038497427,0.8244632979871169
15,0.938935061276236,0.8411974611942971,0.8411768235704202,0.8346909462561841
16,0.939991548105367,0.8734231199481489,0.8249486521403199,0.8457317082447587
17,0.938371601634033,0.8338124033452788,0.851163640747175,0.8350675167554972
18,0.9268911114241443,0.8717340534099374,0.8530176630314329,0.8501486188857941
19,0.9407663051133962,0.85355834093812,0.8444061569733948,0.8423789193164053
20,0.9392872235526131,0.8620595720057272,0.8280962003715214,0.8412109446690845
