Epoch,Train Loss,Val Loss,Test Loss
1,0.3534560360962008,0.1683425274820721,0.422488253173915
2,0.2437360044704703,0.14946953072391117,0.4149002531533118
3,0.23261215786279424,0.16235423825417333,0.4217542279498541
4,0.22470204166951177,0.1472338731111356,0.4165712309079267
5,0.2182857579264393,0.19788647109054164,0.43755693424697667
6,0.21241843168723323,0.16877525067108898,0.4599284365921518
7,0.2076407225972703,0.1579488765874213,0.5444478944370521
8,0.20427604140952874,0.14793854363145725,0.4563940786541594
9,0.1994952972517586,0.16445452847964379,0.43094318146502736
10,0.19857323900887733,0.2071482457280196,0.46731493811090336
