Epoch,Train Loss,Val Loss
1,0.6579633095180282,0.34340702912539756
2,0.29038622893505184,0.20380850494516353
3,0.18106978750676928,0.14904438059374464
4,0.14603362909563514,0.1260214322985834
5,0.12833499752038194,0.11439548897013116
6,0.1087597025576879,0.12178855356050604
7,0.10160105156193903,0.10466076279454398
8,0.09875869193281488,0.13462295269659816
9,0.09482222574611919,0.10034913169229924
10,0.09232704209234448,0.10281659466034508
11,0.08789134388036181,0.10048350703858944
12,0.08687473986822161,0.09658702149520412
13,0.08335235594834842,0.09857627228610492
14,0.07983021941090089,0.1007304410569813
15,0.07821777713804029,0.09586910269852886
16,0.07975569034457448,0.10093582600134857
17,0.07747749748306368,0.1038297183420909
18,0.07719831241576901,0.10352901558416992
19,0.07468850165802286,0.09997422976923509
20,0.07094059569959374,0.09627911174163059
21,0.08093595550666968,0.09439381085328341
22,0.07245162240396859,0.09640079653837949
23,0.07203255922071804,0.09469677629562298
24,0.07139313703714548,0.09304657811872642
25,0.06874070875822118,0.09456143993458166
26,0.0680710325189228,0.0954673811767102
27,0.06934156163644228,0.10371832866896966
28,0.06755789534672708,0.0911703804840256
29,0.06661454525545611,0.09406122899116323
30,0.06728726363777013,0.09626317747259845
31,0.06472081559046286,0.09673229465179148
32,0.06430350311199509,0.09271098023745343
33,0.0649879426606791,0.095065399888996
34,0.06450458549224736,0.09655948160547305
35,0.06559388250789322,0.09114140220214598
36,0.06367897866960248,0.10342315531708497
37,0.06433972056790165,0.11611155122885693
38,0.06571363739491601,0.09526047011164031
39,0.06470097384474015,0.10796241150413001
40,0.06487234282231008,0.09475408326893447
41,0.06335724781762231,0.09934411523880064
42,0.0633665609699185,0.09939876282427018
43,0.06395746941833405,0.10256574739561414
44,0.06443657932299542,0.09261269065191191
45,0.06306020931247548,0.10821768157354587
46,0.06080196678294817,0.09738428301162512
47,0.0623779081837118,0.09815081248806631
48,0.062423387270044685,0.1004741790690333
49,0.06265374979689742,0.11184781557948856
50,0.06367158144450127,0.09480953889753733
