Epoch,Train Loss,Val Loss,Test Loss
1,0.7216665412098829,1.0114384442917455,0.7764425035487426
2,0.42043958465218306,0.7677030597897775,0.4374522755314967
3,0.28258602887811796,0.5273297958841686,0.4170218549497471
4,0.26519508845129725,0.5043616109417952,0.34681638229178574
5,0.24075131714943668,0.47508154232588135,0.5620363337341355
6,0.2362033926924949,0.4002005058043107,0.36045477329873526
7,0.22481578836738464,0.38937307557887396,0.34482506335704666
8,0.21938703338984752,0.3283125236805254,0.42936247657129656
9,0.22404998491707462,0.3202651382359693,0.41098668932187504
10,0.2228355095959765,0.39706420483078997,0.41989445286365473
11,0.21094141971297428,0.3721924783309711,0.369482492600624
12,0.21615441556667658,0.3895675931554174,0.345235801257756
13,0.20051998326955905,0.4172944557996828,0.3353630005054662
14,0.20725339900559822,0.4275349145593469,0.31657464731640234
15,0.20080279636550957,0.3845946403357525,0.33345112692632906
16,0.1951184860177683,0.33608897614232924,0.4136137840950338
17,0.20325393288188298,0.3710074305170749,0.32151124341450965
18,0.1901929916810222,0.38290805491635854,0.30788757232140623
19,0.19829987915948602,0.3934337911137053,0.3101159250132079
20,0.18894806864635805,0.37171998771072723,0.3200809007125078
21,0.18730134917217,0.2838297817053676,0.40856872417176066
22,0.19861970760632808,0.3508513602277361,0.3426777395996226
23,0.19387703986474925,0.3672237037241822,0.30194737526912857
24,0.18683512624600523,0.3730497383304965,0.3290815036210696
25,0.2107687250289399,0.3594055147391426,0.3306741474212922
26,0.1915062647170464,0.38579795886126556,0.33523645271218927
27,0.1813454449416646,0.32583470413909726,0.33170902183614165
28,0.18338699072479483,0.3335620837696054,0.31774578260625824
29,0.1769551525773177,0.41091024807812965,0.31475178814169275
30,0.1841698218639228,0.2963691758387864,0.3647812578052716
31,0.18048283488337902,0.3678413780571317,0.3281756490399053
32,0.1790092532123838,0.3029018670586228,0.3559782346723674
33,0.18228744784111467,0.3444306858544728,0.33093324363763094
34,0.18528228636598684,0.3875883928295146,0.29819775919912006
35,0.17672723471158946,0.31036359331855073,0.3527800058714385
36,0.1789546671647661,0.3030928420606548,0.3325348998783117
37,0.18272176731220433,0.31829907055306134,0.34656659746214796
38,0.1766928086368371,0.29907124398292817,0.36588786477384744
39,0.17401972582162745,0.3529546901912322,0.31756605503705676
40,0.18034198829825496,0.4511375386829054,0.315994038961125
41,0.17989170857718292,0.5158859853563259,0.3570562135384487
42,0.1731574565831804,0.3266767304249069,0.3526694688479255
43,0.17161040878151984,0.3602123086767709,0.36183965180973
44,0.1703356133860122,0.32057516229286936,0.336283691300858
45,0.170354371915161,0.3277584792637926,0.3253867030143738
46,0.16771133410139102,0.4075924898469353,0.3114459027935227
47,0.16313740985254407,0.3389386100592271,0.3520727125706666
48,0.1740741037566897,0.4095574296846573,0.33527275073813584
49,0.16864946928302527,0.3429007818166329,0.3465829153734437
50,0.16429108130020395,0.32760952504684754,0.32439650302199563
