Epoch,Accuracy,Precision,Recall,F1
1,0.7738388892804285,0.5036363063226581,0.3798146524732404,0.38968893050109016
2,0.7820847135104658,0.47719995876064586,0.390739792567048,0.388763427038457
3,0.7929381915568398,0.5447910513304058,0.4330387465369219,0.4420682938092535
4,0.8053421664669814,0.6097592365025788,0.5301684552062699,0.5339426162605335
5,0.8188737754598633,0.6242860419866246,0.4777609655051267,0.48722799677816786
6,0.8512932553386426,0.8023741374544676,0.5525943844362097,0.609977772028837
7,0.8634857988582705,0.7989665126464355,0.5742129628375263,0.6215202432776076
8,0.8799774473183452,0.7492634352820273,0.6408941713010964,0.6846428460420722
9,0.8865318204242724,0.798361150152735,0.6588704949946588,0.7046545371465894
10,0.8882232715483825,0.7655714966500926,0.7029691323888235,0.7195008854761361
11,0.8825851011346818,0.8224583817885179,0.6935180609932452,0.713591099276301
12,0.8900556769328353,0.8107978898702854,0.7093779963534482,0.7311192783168646
13,0.8875889773768412,0.8415921878962834,0.6862262865385103,0.7305586215762432
14,0.8974557756008176,0.8407229518204319,0.7069043578236976,0.744372111102987
15,0.9068997110437663,0.8275015526356163,0.7154445616036256,0.7594655491410266
16,0.904644442878286,0.8394657699694782,0.7398786737530655,0.777782855002951
17,0.8979491155120164,0.818633936879757,0.7378001497049961,0.7488338153913308
18,0.8805412643597152,0.8126309578431475,0.6791405647548577,0.7329929698951992
19,0.9111283388540419,0.8171090499210342,0.7470071331362239,0.7493448123142947
20,0.9207132285573332,0.8142898990939172,0.8229902479830433,0.8176778740960714
21,0.9140179011910635,0.8528543959025542,0.7675851886261352,0.7988870780000079
22,0.9194446402142504,0.8717179389501188,0.7820358568710946,0.8150098864448881
23,0.9183874832616816,0.8351517392895106,0.789849377466408,0.8098197089915038
24,0.9152864895341462,0.8449808914596688,0.7892650049585584,0.805287898912777
25,0.9259285361900064,0.8715672607327818,0.8099372101650409,0.8346703887889918
26,0.9296638240890831,0.8643578563278626,0.773768922374893,0.8054536806192103
27,0.928818098527028,0.8556146578359282,0.8335689788405342,0.8376396063853367
28,0.9293819155683981,0.8818049406276672,0.7883813849582847,0.8240950972263521
29,0.9298047783494257,0.8781911530110924,0.7931732808610971,0.8248457610985769
30,0.9317076608640497,0.8520085453709035,0.8439371922055651,0.8410112193553042
