Epoch,Accuracy,Precision,Recall,F1
1,0.9591232645006695,0.8539435248296008,0.6710022953328233,0.7514995715509855
2,0.9613080555359785,0.8515769944341373,0.7023718439173681,0.769811320754717
3,0.9638452322221439,0.8557347670250897,0.730680948737567,0.7882789929839042
4,0.9598985129325533,0.7473190348525469,0.8530986993114001,0.796713111825652
5,0.9616604411868349,0.754163890739507,0.8661055853098699,0.8062678062678063
6,0.9668757488195081,0.8444444444444444,0.7850038255547054,0.8136399682791435
7,0.9664528860384806,0.8448132780082988,0.7788829380260138,0.8105095541401274
8,0.9658890689971105,0.8449287510477788,0.7712318286151492,0.8064
9,0.964409049263514,0.8665447897623401,0.7253251721499617,0.7896709704289879
10,0.9662414546479667,0.8520408163265306,0.7666411629686305,0.8070881997583568
11,0.9665233631686517,0.888785046728972,0.7276205049732212,0.8001682793437106
12,0.9695538797660159,0.8357636224098235,0.8332058148431523,0.8344827586206897
13,0.970117696807386,0.851792828685259,0.8179035960214232,0.834504293520687
14,0.9683557685531046,0.8320433436532507,0.8224942616679418,0.8272412466333205
15,0.9718091479314962,0.8708094848732625,0.8148431522570773,0.841897233201581
16,0.9733596447952639,0.8755052546483427,0.8286151491966335,0.8514150943396226
17,0.97202057932201,0.8869047619047619,0.7980107115531752,0.8401127668143374
18,0.9722320107125237,0.9029126213592233,0.782708492731446,0.8385245901639344
19,0.9769539784339981,0.8876582278481012,0.8584544758990054,0.8728121353558926
20,0.9764606385227994,0.8971428571428571,0.8408569242540168,0.868088467614534
21,0.9770244555641694,0.8799380325329202,0.8691660290742158,0.8745188606620478
22,0.9744168017478329,0.8693270735524257,0.8500382555470544,0.8595744680851064
23,0.9795616322503348,0.8938807126258714,0.882938026013772,0.8883756735950731
24,0.9785044752977659,0.8871715610510046,0.8783473603672532,0.8827374086889658
25,0.9804778349425611,0.8998447204968945,0.8867635807192042,0.8932562620423892
26,0.979914017901191,0.9062003179650239,0.8722264728385616,0.8888888888888888
27,0.9820988089365001,0.9084561675717611,0.8959449120122418,0.9021571648690293
28,0.9830150116287265,0.901355421686747,0.9158377964804897,0.9085388994307401
29,0.9832264430192402,0.8962194217939214,0.9250191277735271,0.9103915662650602
30,0.9836493058002678,0.9255740300870943,0.8944146901300689,0.909727626459144
