Epoch,Accuracy,Precision,Recall,F1
1,0.9055763658209061,0.46309634791542703,0.5020808115122913,0.47978653519593617
2,0.8891087709378754,0.4744934723276928,0.5115242251333991,0.4757969994726908
3,0.9109477701604354,0.4913644001203509,0.44237153305429844,0.45800214916322424
4,0.9093222135839989,0.44067581298466696,0.37471649582095296,0.3954069031291416
5,0.8965297900911725,0.4314694424960759,0.4019043054220259,0.40634671287545704
6,0.8879072725987702,0.399874988908658,0.3951643339395066,0.3966830540449755
7,0.9086861262280019,0.4403718628398646,0.37201417459492203,0.3922176433551144
8,0.9039508092444696,0.3501464616602327,0.3295747446887127,0.33788740776329773
9,0.9156830871439677,0.43198783623512255,0.39470695389773974,0.41048109064494614
10,0.9060004240582373,0.392031691765208,0.3768823972829778,0.3742016420190568
