Epoch,Train Loss,Val Loss,Test Loss
1,0.4575318441736413,0.3025410359373074,0.5468229151375388
2,0.34603657906569624,0.33988244525355765,0.6497410364767101
3,0.3245054706424899,0.2408439881410763,0.6335611373769603
4,0.3098975173949892,0.24148324385711792,0.5957442161015974
5,0.2949697033696362,0.3023903238909258,0.6224898152948078
6,0.28064515487044334,0.29761355805015244,0.742574249103282
7,0.26882947556400044,0.25791621718394087,0.6997973355976772
8,0.2549676525333232,0.27797867179537833,0.7654999311331945
9,0.2449473163696018,0.2761730174143037,0.8070240674320801
10,0.2375419644481683,0.28028082318433317,0.7065884707170911
