Epoch,Accuracy,Precision,Recall,F1
1,0.8868137289449574,0.5148180242011069,0.5197744492177767,0.5153125400767041
2,0.8858270491225597,0.683952363891255,0.5322028402171196,0.5670055528732515
3,0.8947071675241384,0.7074345501243527,0.6495007243975314,0.6566772292124647
4,0.8969624356896188,0.7147186941227757,0.6377265405413278,0.654868986474355
5,0.8983719782930439,0.6778879181459404,0.6581524767122392,0.6269653830058209
6,0.8984424554232152,0.775454582250203,0.7267485056954405,0.7279967629077525
7,0.9054196913101699,0.7963977090644647,0.6973300267530536,0.7398375150415798
8,0.8966805271689336,0.7672966743980957,0.6788268979825554,0.7080379932543671
9,0.8999224751568116,0.7994628007309165,0.7034834906514731,0.7403419177512714
10,0.9079568679963352,0.8571261554614323,0.7124466277046082,0.7619819932162163
11,0.9102121361618155,0.8372696727174723,0.7469856648208415,0.773979910403768
12,0.9102826132919868,0.8398661321500968,0.7089262857556853,0.746015648096617
13,0.9110578617238706,0.8421358020817582,0.7161246785129677,0.7653588386065483
14,0.9145112411022623,0.8533433490922381,0.7451142917239472,0.781197391177637
15,0.9161322150962012,0.8505848066528019,0.8106691124144983,0.8273754231623478
16,0.9176122348297977,0.8192986159198391,0.8161762425989377,0.8124142818022312
17,0.9175417576996264,0.8801323937764579,0.7693189803508963,0.816060788192114
18,0.9153569666643174,0.84649940801043,0.7871202653330567,0.8066202638583323
19,0.9178941433504828,0.8599590527499591,0.7836954979629752,0.8153576917374054
20,0.9210656142081894,0.865155698627419,0.8307588610930002,0.8452121745929649
21,0.9267037846218902,0.8413555339429224,0.8356961253518379,0.8299653958601527
22,0.9217703855099021,0.8916720385536493,0.8046522065170135,0.8414872120023918
23,0.9265628303615476,0.8743133142822677,0.8274993697079505,0.8452557275434841
24,0.9185989146521953,0.8708823329376721,0.8013638488905368,0.8296510087373038
25,0.9293114384382268,0.8857547549011185,0.8393389096988239,0.8598899120245248
26,0.9312143209528508,0.883317484348708,0.8103879755274793,0.8407285470784497
27,0.9045034886179435,0.857914055129506,0.7750286708313047,0.803122925840774
28,0.9351610402424413,0.898482130522588,0.8218174532834723,0.8543385199527815
29,0.9330467263373036,0.8813093756621657,0.8290450040358204,0.849311746088011
30,0.9348791317217563,0.8703401377473874,0.842321308079326,0.8479697127989562
