Epoch,Train Loss,Val Loss
1,0.5691381249972626,0.5024137078225558
2,0.44257480140585287,0.3901683717385709
3,0.3819001093289944,0.3451655114679592
4,0.34512597061988654,0.3318101002765058
5,0.31887732131509317,0.29221033486320513
6,0.3024627402998385,0.28858138491170926
7,0.290026208674776,0.276791047328277
8,0.28301636689866605,0.3066956407204505
9,0.27457455474262776,0.2731880955662013
10,0.26967789386709273,0.2484291316739149
11,0.26476083038659576,0.24982524465635078
12,0.2586047424491358,0.2466542473967906
13,0.25356485035760873,0.28463201231458846
14,0.2497896268203338,0.24036705371640088
15,0.25156224853074843,0.23130987998423005
16,0.24286124400857553,0.27177572198409194
17,0.24049016262975753,0.2353466001189362
18,0.23689942887136844,0.24156882514886047
19,0.2347719303315893,0.2375150083408869
20,0.23011103664072544,0.22945879027366267
