Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.002551249431107844,0.0019367765630447765,0.0018650952438479546
2,0.001960879274293,0.0017762455925128095,0.0017116709605846053
3,0.0018983098725787295,0.0017503754062545937,0.0016742112094760388
4,0.0018047122681104125,0.0016544876784434577,0.001591725859726751
5,0.0017228943559170502,0.0016218396636788965,0.0015762974360485705
6,0.0016771331682044037,0.001644015818058814,0.001575026759775427
7,0.0016009022498268163,0.0015543088296346565,0.0014837072231312241
8,0.001544858058115767,0.001439134121478188,0.001378468029772123
9,0.0015421450377462542,0.0014398021297590484,0.0013798729357938733
10,0.0014516810773404778,0.0013049388336846852,0.0012555832942861094
11,0.001384451005863953,0.0013007073516602297,0.0012649295731613427
12,0.0013605315275621035,0.0012783959675740986,0.001241833402883891
13,0.001278110990374882,0.0011969507517982458,0.0011480021438713542
14,0.0012416839428748272,0.0011222916684504596,0.0011088950251152414
15,0.0011930861833374965,0.0013750790055784255,0.001342636334077062
16,0.001372901261348598,0.0010509724934515338,0.0010422654979497326
17,0.0012527906667899815,0.0013425685016139979,0.0012748485399716551
18,0.0011214696914500766,0.0009571936002170275,0.0009659226198773813
19,0.001280224230595781,0.001139681189700254,0.0011029488081392023
20,0.0010327545235875929,0.0009624432256969212,0.0009677049199582513
