Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.0024123038253085548,0.0018389971022826242,0.0017631522117023985
2,0.0019266335924355,0.001915003494456511,0.001842060597375688
3,0.0018691914874375646,0.0017729022077984775,0.0016991847402055764
4,0.0017563768748620823,0.001661338197738051,0.0015932585463590628
5,0.0016769735607145497,0.0015429301691665908,0.0014932425390884261
6,0.0015970293926669795,0.0015296961878003776,0.001472972616640831
7,0.0015464968865216509,0.0017083370541869656,0.0016756260359350223
8,0.0015141021499466016,0.001525865641410865,0.00147128513615171
9,0.0014231982376496542,0.001388495257328703,0.001342616218902678
10,0.0013608124679808074,0.0012314414210546614,0.0012088778565959738
11,0.0013088814872661582,0.0011390330329068498,0.001112394039142654
12,0.0012167242957449689,0.0012826677153021156,0.0012500635920619358
13,0.0012948610154764448,0.0010416514721152774,0.0010206330519730703
14,0.0011309437773935436,0.0010809735576264928,0.0010463798158906737
15,0.0010387923303806596,0.0009157910925648719,0.0009083288550949731
16,0.0009466900946619875,0.0009023307044708221,0.0008884450929156235
17,0.000890696669923521,0.0008499720778372687,0.0008500046238248679
18,0.0008311141533349956,0.0009988193046372358,0.000989919925937326
19,0.0008163511209257401,0.0006670998097442808,0.0006657493395139146
20,0.0007650829870497005,0.0007527388704666748,0.0007427878008156636
