Epoch,Train Loss,Val Loss,Test Loss
1,13100.368021017224,9954.502113937151,10076.122945106763
2,8460.753097497036,7397.587119753526,7506.149815084363
3,7056.128784668391,6811.680432058425,6912.884394812717
4,6805.009234111896,6750.795974076054,6849.229168179438
5,6786.261689309903,6749.200457571997,6847.218520792259
6,6785.980898003708,6749.131704693148,6847.089257436599
7,6785.952573211834,6749.724607541338,6847.942726715794
8,6786.118917972601,6749.180821574059,6847.185051282023
9,6785.828444184876,6749.366432260495,6847.469134381381
10,6786.219807800272,6749.104758206004,6846.978801722102
11,6786.194053604317,6749.158790217707,6846.9475798229705
12,6720.314100654248,6459.348097108168,6551.645411316041
13,6258.324940194461,5815.374386135829,5898.329361277791
14,5692.847074078711,5472.6160921620485,5544.458030229017
15,5288.802988343726,5352.250808553226,5441.364034014062
16,4932.763093308821,5021.85835846367,5120.472511596995
17,4608.576052405377,4313.732431593408,4386.712327026086
18,4354.459651192708,4203.792134250458,4265.346448898226
19,4024.9658346936485,3740.6580166186613,3771.568538798819
20,3670.3357935559015,3562.014815919596,3588.9241187374946
