Epoch,Train Loss,Val Loss,Test Loss
1,13164.564412318354,10173.970901331833,9908.204218251734
2,8490.62855246973,7569.03533870287,7317.2036521166
3,7065.165233796955,6969.177749762592,6725.172631831358
4,6808.009727634975,6904.298191280218,6663.229750387621
5,6788.511338663282,6901.921851643834,6661.372709905066
6,6788.005931498145,6901.857690516701,6661.34486331056
7,6788.189697783314,6901.886774621612,6661.356472973527
8,6748.374628804773,6741.516401249033,6495.8181304845775
9,6494.902912442325,6461.771116171919,6201.975599218457
10,6103.193238103302,5971.579723386061,5752.97050972679
11,5661.115535490849,5482.307986077527,5288.667911092329
12,5200.126673150978,5042.98016750126,4850.889914789381
13,4877.910162059893,5034.779893006779,4871.249734060287
14,4631.191453340064,4686.508815532821,4522.374718718492
15,4433.595087767067,4603.937050096136,4431.708887103439
16,4213.132079914967,4132.811567585232,3963.3153522915786
17,4027.9031221554096,4026.297646028243,3869.1062861699993
18,3804.5355464402396,3679.620864859577,3519.654712981119
19,3616.0625760413877,3412.6098233467865,3270.345617485726
20,3419.6424577979005,3280.288896259057,3106.500270381964
