Epoch,Val MSE,Val MAE,Val RMSE,Val TolAcc,Test MSE,Test MAE,Test RMSE,Test TolAcc
1,9954.502014157106,59.7359134106604,99.77225072211765,0.009904708257052997,10076.122878825814,59.946450884060276,100.3798928014262,0.010421067455287987
2,7397.586853724973,47.875629170592426,86.00922539893597,0.03318781392292165,7506.149571315028,48.20570111378803,86.6380376700386,0.03304698868703938
3,6811.680296375522,52.75376342743354,82.53290432533876,0.009763883021170728,6912.884222239259,53.17935030926943,83.14375636353735,0.008965873351171197
4,6750.796085237995,55.50012531109507,82.1632283034083,0.007510679247054406,6849.229291928862,55.93795657071721,82.76007063752944,0.007745387973524856
5,6749.2003101888595,55.94027733633799,82.15351672441575,0.007510679247054406,6847.218347874696,56.380564030798276,82.74792050483623,0.007557620992348495
6,6749.131540859275,56.00465108275788,82.15309818174404,0.007510679247054406,6847.089075416776,56.445317239586316,82.74713937905513,0.007557620992348495
7,6749.724707398365,55.727366285346925,82.15670823127205,0.007510679247054406,6847.942859060934,56.166398084259356,82.75229821014601,0.007557620992348495
8,6749.180966238265,55.95495658902804,82.15339899382292,0.007510679247054406,6847.1852135745285,56.395329982390656,82.74772029231094,0.007557620992348495
9,6749.366304135088,55.85022699638739,82.15452698503648,0.007510679247054406,6847.468982986909,56.289983053797876,82.74943494058984,0.007557620992348495
10,6749.104822257388,56.094438156488216,82.15293556688883,0.006994320048819415,6846.978856367274,56.53553776520997,82.74647337722179,0.0057268929258789845
11,6749.158791818629,56.1865733596622,82.15326403630368,0.006994320048819415,6846.947576722766,56.62807387743389,82.74628436807761,0.0057268929258789845
12,6459.348149340905,53.69703435116641,80.37006998467095,0.005398300708820354,6551.645431432112,54.08674145044813,80.94223515218808,0.004694174529409003
13,5815.3743636418,49.93900896015175,76.25860189933854,0.011829319814110688,5898.329383683117,50.24690739987507,76.80058192281564,0.011312960615875698
14,5472.616117628546,44.58663458430878,73.97713239663015,0.030746843167628973,5544.458021819087,44.77886789462737,74.46111751658772,0.02943247429939445
15,5352.250823895632,49.34002922320262,73.1590788890595,0.004506407548232643,5441.364017232123,49.714312241602656,73.76560185636747,0.005116650237055814
16,5021.8583695755415,40.58852078020083,70.86507157673336,0.036098202131155235,5120.472529264584,40.8948393788902,71.55747710242854,0.03900859033938882
17,4313.7323985091425,39.73608409289054,65.67901033442223,0.028775289865277193,4386.7123250541845,39.752007151771444,66.23226045556791,0.02863446462939492
18,4203.792150936308,37.621816462509756,64.8366574627063,0.03652067783880205,4265.346432788107,37.60540810261669,65.3096197568789,0.03520630897056753
19,3740.6580408399045,34.48962385797816,61.160919228212265,0.04055766793409379,3771.568522517398,34.18226222206728,61.413097320664406,0.03971271651880017
20,3562.014822949518,32.09288435130479,59.68261742709947,0.058630239872318454,3588.92411288546,31.78213271715101,59.90762983865628,0.05684645355114303
