Epoch,Val MSE,Val MAE,Val RMSE,Val TolAcc,Test MSE,Test MAE,Test RMSE,Test TolAcc
1,10173.97102303392,60.190708763267104,100.86610443074483,0.010410804727068092,9908.204267653608,59.96279278241588,99.53996316883791,0.010317013693490902
2,7569.035194194593,48.067850954423946,87.00020226525105,0.03212342900018758,7317.203395170261,47.938237601161966,85.54065346471384,0.03240480210091915
3,6969.177777443783,52.92906350218273,83.48160143075708,0.009285312324141813,6725.172592490334,52.856484035863325,82.00714964251796,0.009191521290564622
4,6904.298163513914,55.680151552806045,83.09210650545522,0.007456387169386606,6663.229735872264,55.58400675369861,81.62860856263731,0.006377790283248921
5,6901.921791095458,56.198739021228285,83.07780564684805,0.007784655786906772,6661.372592890223,56.098756788372214,81.61723220552277,0.007081223035077846
6,6901.857598735859,56.235355207249675,83.07741930714903,0.007784655786906772,6661.344861493335,56.13506500860961,81.61706231844745,0.007081223035077846
7,6901.886613401959,56.217712007349775,83.07759393122768,0.007784655786906772,6661.356304067768,56.11757013002137,81.61713241757376,0.007081223035077846
8,6741.516430168281,54.98974564365722,82.10673803146902,0.003048208591258676,6495.818121719614,54.81777452559392,80.59663840210467,0.003892327893453386
9,6461.771145470138,50.408959477642334,80.38514256670905,0.008066028887638342,6201.975599422247,50.136514575681325,78.75262280979756,0.008159819921215531
10,5971.579681789959,50.37700619015097,77.27599680230568,0.006987432001500656,5752.970547045347,50.12149341771447,75.84833911856836,0.006049521665728756
11,5482.307993585319,45.90603868788256,74.04260931102658,0.023260176327143126,5288.667898946626,45.69399201653058,72.7232280564238,0.025182892515475522
12,5042.98014134796,43.12647074969708,71.01394328825826,0.034937160007503285,4850.889926477545,42.874829059156106,69.64833039260557,0.035499906208966425
13,5034.779892660637,43.19070656289305,70.95618290649968,0.03329581691990246,4871.249714777128,43.08168572472533,69.79433870148156,0.033905458638154196
14,4686.508801007028,41.35053376761504,68.45808061147368,0.035781279309697996,4522.374727016894,41.21698693767584,67.24860390384988,0.037844682048396174
15,4603.9370221510935,45.53545426508428,67.85231773602942,0.022416057024948415,4431.708871831464,45.23055873456535,66.57108134792063,0.02321328081035453
16,4132.811579639,38.66176893974509,64.2869471948933,0.047598949540423936,3963.3153410850864,38.25871136541372,62.9548674931898,0.04689551678859501
17,4026.297641331812,40.98529366386069,63.453113724480154,0.02743387732132808,3869.1063091778183,40.62380836524741,62.20214071217982,0.028137310073157007
18,3679.6208602405554,35.50903467415556,60.65987850499336,0.0469893078221722,3519.654722318321,35.171907583872475,59.32667799833664,0.04445694991558807
19,3412.6098184724165,34.562118460594924,58.41754717952831,0.04858375539298443,3270.345613725443,34.200519702376845,57.18693569099015,0.04633277058713187
20,3280.2889047024255,33.832896933683514,57.27380644502708,0.04253423372725568,3106.500248938394,33.19090735865364,55.735987018607595,0.045910710936034514
