Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.002315406759040687,0.0018500408608527145,0.0017244374116229442
2,0.0018354270780896727,0.0018050321062400695,0.0016864567029943273
3,0.0017469132309804872,0.0016711577695072942,0.0015422625665027783
4,0.0016603043384740143,0.0016127655622756466,0.0015375197848602612
5,0.0015980216428529885,0.0016892819982029467,0.001608154472709287
6,0.0015575015640820736,0.0014649084680637984,0.0013860364814810991
7,0.001516767240290448,0.0015907870917858406,0.001514020814823247
8,0.0014957701891431983,0.001652038052318054,0.0015509749887209611
9,0.0015244894425494257,0.0018871903320074842,0.0018420604198386532
10,0.0013785210079376323,0.0013223329222811595,0.0012463038262724806
11,0.0013150789322832008,0.0013974934653596172,0.0013254222646807388
12,0.0013195278084770594,0.0012386207153972915,0.0011693565975664278
13,0.0012343691186471619,0.0013079675308164589,0.0012500500484408236
14,0.0011762702712446742,0.0011204041891783743,0.0010934684616100638
15,0.001168513078275567,0.001141894958366654,0.00109046277198604
16,0.001096724090452018,0.001004453260209875,0.000996258652595702
17,0.0010484791270480704,0.000986509909159332,0.0009497605640893026
18,0.000999197224548143,0.0009164743794249816,0.0008921407148040866
19,0.0010092917447148443,0.0010239326706017202,0.0009790940654196764
20,0.0009744204119330396,0.000963069248279038,0.000933043051092528
