Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.0023016597422610007,0.0019262639568162635,0.0017896659730083295
2,0.0018428990441722135,0.0018388366454862787,0.0017230634401462594
3,0.0017742496717854995,0.0018030350787606403,0.0016586566988042498
4,0.0016983301246099919,0.0017496433011207492,0.0016268105040925347
5,0.0016265263991773707,0.0016185157919159328,0.0015199869395068134
6,0.0015374837720234383,0.001475764027545359,0.0014077161740088792
7,0.0014843587235496224,0.0016299780639864978,0.0015570857450898092
8,0.0014507281743386506,0.0016665249779850909,0.0015996916509263663
9,0.0013875916188976854,0.0013326863776401817,0.0012881383375393598
10,0.0013478000664098825,0.001267605276291706,0.001217909635671816
11,0.001302752962107657,0.0012299375610724012,0.0011726075457712379
12,0.0012504794982650278,0.0011455381299343634,0.0010820726564301953
13,0.0011991769594666038,0.0011234942814411393,0.0011043537198285461
14,0.0010996429431697915,0.0010301636934669563,0.0009978103690366738
15,0.001051555183983147,0.0009913788174432283,0.0009547092930621156
16,0.0009554070070543265,0.0010231532775295867,0.0009931760418274026
17,0.0009110908357882098,0.0008060914771409409,0.0007671267086647944
18,0.0008780309617073748,0.0009856062968467865,0.0008848068796133762
19,0.0008622729165708632,0.0009630971280026858,0.0009066273125036769
20,0.0007938419317300522,0.0008457615599540354,0.0008173491882258122
