Epoch,Train Loss,Val Loss
1,0.6425656419674105,0.6056048323135038
2,0.55822665435618,0.5095059728431719
3,0.47541167595500833,0.44410513591920986
4,0.43824433433227894,0.411459729122094
5,0.41544119588357675,0.3913044955639644
6,0.3959719604985231,0.38120148690236816
7,0.3837243617075707,0.3661980658676283
8,0.3750835300900669,0.357525281384856
9,0.3647579498087993,0.3550022712871049
10,0.35698676236620364,0.3411173346624482
11,0.35027361701196996,0.3408948331626797
12,0.3436008704366714,0.35121403239158
13,0.3374812291166279,0.32524566053309206
14,0.3315882325148161,0.327494388674464
15,0.32812399901209655,0.3180201220922133
16,0.3234142166254532,0.30949447987434553
17,0.31935820216694194,0.3054168132722021
18,0.3141539517114001,0.30896771482144614
19,0.3100920899859043,0.2979471052859385
20,0.30796535994576935,0.30619348107063854
