Epoch,Accuracy,Precision,Recall,F1
1,0.755628441251985,0.4490863847168436,0.41516402122209667,0.4221783837441119
2,0.7961888366156632,0.6064290081135612,0.45934254361948657,0.4859842158775722
3,0.820891646012971,0.6576293499851654,0.49712052187152134,0.5336818567129418
4,0.8348792686365593,0.6853713251947428,0.5727539770311577,0.605127609233612
5,0.8442587673082916,0.7088166411448523,0.5691551935581365,0.6084007167892164
6,0.8491785518172779,0.6875856016374308,0.5927682476476245,0.6322470385819461
7,0.8553672400231519,0.7223646404424804,0.621309377278828,0.651359870528859
8,0.8577714786067289,0.7175149313783785,0.6358584934719099,0.6605334911836486
9,0.8598492156542645,0.7569230692433881,0.5939923027076526,0.6411096553050539
10,0.8656297769400869,0.7535978317447982,0.6076553348911449,0.6460061112670467
11,0.8645092830323088,0.77146434792147,0.6012230710136224,0.6529145205079859
12,0.8622979771745745,0.7763220077216819,0.5971006540823895,0.6423644855866817
13,0.8709502678796693,0.7795391245190519,0.6263063651239956,0.6705493722705793
14,0.8702601623603092,0.7686536424790168,0.617615354343147,0.6553765102235065
15,0.8747643994597883,0.7571449842959402,0.6601831200028684,0.6922975497879864
16,0.8783855983140648,0.7396821746901562,0.6795517485616049,0.7039797872717095
17,0.8786824178922842,0.7819635233762897,0.6557019684368515,0.6979066264441982
18,0.8772651044062867,0.7658022710824918,0.669337875449493,0.7032745339251081
19,0.8818212849319541,0.7911751796603526,0.6559740282165599,0.7065223210442924
20,0.8805523812350663,0.7632756897096684,0.6824565984747908,0.7073683187151127
